Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR
1993-1994;29/08/1993;Udinese;Parma;0.0;1.0;A
1993-1994;29/08/1993;Piacenza;Torino;0.0;3.0;A
1993-1994;29/08/1993;Napoli;Sampdoria;1.0;2.0;A
1993-1994;29/08/1993;Lecce;Milan;0.0;1.0;A
1993-1994;29/08/1993;Atalanta;Cagliari;5.0;2.0;H
1993-1994;29/08/1993;Juventus;Cremonese;1.0;0.0;H
1993-1994;29/08/1993;Genoa;Roma;2.0;0.0;H
1993-1994;29/08/1993;Lazio;Foggia;0.0;0.0;D
1993-1994;29/08/1993;Inter;Reggiana;2.0;1.0;H
1993-1994;05/09/1993;Cremonese;Napoli;2.0;0.0;H
1993-1994;05/09/1993;Foggia;Inter;1.0;1.0;D
1993-1994;05/09/1993;Milan;Genoa;1.0;0.0;H
1993-1994;05/09/1993;Parma;Lecce;1.0;0.0;H
1993-1994;05/09/1993;Reggiana;Lazio;0.0;0.0;D
1993-1994;05/09/1993;Roma;Juventus;2.0;1.0;H
1993-1994;05/09/1993;Sampdoria;Piacenza;2.0;1.0;H
1993-1994;05/09/1993;Torino;Atalanta;2.0;1.0;H
1993-1994;05/09/1993;Cagliari;Udinese;1.0;2.0;A
1993-1994;08/09/1993;Udinese;Roma;0.0;0.0;D
1993-1994;08/09/1993;Piacenza;Milan;0.0;0.0;D
1993-1994;08/09/1993;Napoli;Torino;0.0;0.0;D
1993-1994;08/09/1993;Inter;Cremonese;2.0;1.0;H
1993-1994;08/09/1993;Lazio;Parma;2.0;1.0;H
1993-1994;08/09/1993;Juventus;Sampdoria;3.0;1.0;H
1993-1994;08/09/1993;Genoa;Cagliari;1.0;1.0;D
1993-1994;08/09/1993;Atalanta;Reggiana;2.0;1.0;H
1993-1994;08/09/1993;Lecce;Foggia;0.0;2.0;A
1993-1994;12/09/1993;Sampdoria;Lecce;2.0;1.0;H
1993-1994;12/09/1993;Torino;Udinese;1.0;0.0;H
1993-1994;12/09/1993;Roma;Napoli;2.0;3.0;A
1993-1994;12/09/1993;Foggia;Juventus;1.0;1.0;D
1993-1994;12/09/1993;Parma;Genoa;2.0;1.0;H
1993-1994;12/09/1993;Milan;Atalanta;2.0;0.0;H
1993-1994;12/09/1993;Cagliari;Inter;1.0;0.0;H
1993-1994;12/09/1993;Cremonese;Lazio;1.0;0.0;H
1993-1994;12/09/1993;Reggiana;Piacenza;1.0;1.0;D
1993-1994;19/09/1993;Udinese;Sampdoria;0.0;2.0;A
1993-1994;19/09/1993;Piacenza;Lecce;2.0;1.0;H
1993-1994;19/09/1993;Parma;Torino;3.0;0.0;H
1993-1994;19/09/1993;Milan;Roma;2.0;0.0;H
1993-1994;19/09/1993;Juventus;Reggiana;4.0;0.0;H
1993-1994;19/09/1993;Genoa;Napoli;0.0;0.0;D
1993-1994;19/09/1993;Foggia;Cagliari;0.0;1.0;A
1993-1994;19/09/1993;Atalanta;Cremonese;0.0;0.0;D
1993-1994;19/09/1993;Lazio;Inter;0.0;0.0;D
1993-1994;26/09/1993;Sampdoria;Parma;1.0;1.0;D
1993-1994;26/09/1993;Torino;Genoa;2.0;0.0;H
1993-1994;26/09/1993;Roma;Atalanta;2.0;1.0;H
1993-1994;26/09/1993;Inter;Piacenza;2.0;0.0;H
1993-1994;26/09/1993;Napoli;Udinese;2.0;1.0;H
1993-1994;26/09/1993;Cremonese;Milan;0.0;2.0;A
1993-1994;26/09/1993;Reggiana;Foggia;0.0;0.0;D
1993-1994;26/09/1993;Lecce;Juventus;1.0;1.0;D
1993-1994;26/09/1993;Cagliari;Lazio;4.0;1.0;H
1993-1994;03/10/1993;Atalanta;Sampdoria;1.0;4.0;A
1993-1994;03/10/1993;Genoa;Reggiana;0.0;0.0;D
1993-1994;03/10/1993;Juventus;Torino;3.0;2.0;H
1993-1994;03/10/1993;Milan;Lazio;0.0;0.0;D
1993-1994;03/10/1993;Napoli;Inter;0.0;0.0;D
1993-1994;03/10/1993;Piacenza;Cagliari;1.0;1.0;D
1993-1994;03/10/1993;Roma;Cremonese;1.0;2.0;A
1993-1994;03/10/1993;Udinese;Lecce;2.0;1.0;H
1993-1994;03/10/1993;Parma;Foggia;3.0;0.0;H
1993-1994;17/10/1993;Lecce;Genoa;0.0;0.0;D
1993-1994;17/10/1993;Sampdoria;Roma;0.0;1.0;A
1993-1994;17/10/1993;Reggiana;Udinese;1.0;1.0;D
1993-1994;17/10/1993;Lazio;Piacenza;1.0;0.0;H
1993-1994;17/10/1993;Inter;Torino;0.0;0.0;D
1993-1994;17/10/1993;Foggia;Milan;1.0;1.0;D
1993-1994;17/10/1993;Cremonese;Parma;0.0;0.0;D
1993-1994;17/10/1993;Cagliari;Napoli;1.0;2.0;A
1993-1994;17/10/1993;Juventus;Atalanta;2.0;1.0;H
1993-1994;24/10/1993;Udinese;Inter;0.0;1.0;A
1993-1994;24/10/1993;Torino;Sampdoria;2.0;3.0;A
1993-1994;24/10/1993;Roma;Lazio;1.0;1.0;D
1993-1994;24/10/1993;Parma;Reggiana;1.0;0.0;H
1993-1994;24/10/1993;Milan;Juventus;1.0;1.0;D
1993-1994;24/10/1993;Genoa;Piacenza;0.0;1.0;A
1993-1994;24/10/1993;Cremonese;Cagliari;3.0;1.0;H
1993-1994;24/10/1993;Atalanta;Foggia;1.0;1.0;D
1993-1994;24/10/1993;Napoli;Lecce;3.0;1.0;H
1993-1994;31/10/1993;Sampdoria;Milan;3.0;2.0;H
1993-1994;31/10/1993;Reggiana;Roma;0.0;0.0;D
1993-1994;31/10/1993;Piacenza;Napoli;1.0;1.0;D
1993-1994;31/10/1993;Inter;Parma;3.0;2.0;H
1993-1994;31/10/1993;Lazio;Udinese;2.0;1.0;H
1993-1994;31/10/1993;Cagliari;Torino;2.0;1.0;H
1993-1994;31/10/1993;Lecce;Atalanta;5.0;1.0;H
1993-1994;31/10/1993;Juventus;Genoa;4.0;0.0;H
1993-1994;31/10/1993;Foggia;Cremonese;1.0;1.0;D
1993-1994;07/11/1993;Atalanta;Piacenza;0.0;0.0;D
1993-1994;07/11/1993;Cremonese;Lecce;2.0;1.0;H
1993-1994;07/11/1993;Inter;Milan;1.0;2.0;A
1993-1994;07/11/1993;Napoli;Lazio;1.0;2.0;A
1993-1994;07/11/1993;Parma;Juventus;2.0;0.0;H
1993-1994;07/11/1993;Roma;Foggia;0.0;0.0;D
1993-1994;07/11/1993;Sampdoria;Cagliari;1.0;2.0;A
1993-1994;07/11/1993;Torino;Reggiana;2.0;0.0;H
1993-1994;07/11/1993;Udinese;Genoa;0.0;4.0;A
1993-1994;21/11/1993;Reggiana;Cremonese;2.0;0.0;H
1993-1994;21/11/1993;Piacenza;Udinese;0.0;0.0;D
1993-1994;21/11/1993;Milan;Napoli;2.0;1.0;H
1993-1994;21/11/1993;Lecce;Roma;0.0;2.0;A
1993-1994;21/11/1993;Juventus;Cagliari;1.0;1.0;D
1993-1994;21/11/1993;Genoa;Inter;1.0;0.0;H
1993-1994;21/11/1993;Foggia;Sampdoria;1.0;2.0;A
1993-1994;21/11/1993;Atalanta;Parma;0.0;2.0;A
1993-1994;21/11/1993;Lazio;Torino;1.0;2.0;A
1993-1994;28/11/1993;Udinese;Atalanta;0.0;0.0;D
1993-1994;28/11/1993;Torino;Lecce;3.0;0.0;H
1993-1994;28/11/1993;Sampdoria;Cremonese;3.0;1.0;H
1993-1994;28/11/1993;Parma;Milan;0.0;0.0;D
1993-1994;28/11/1993;Napoli;Reggiana;5.0;0.0;H
1993-1994;28/11/1993;Lazio;Genoa;4.0;0.0;H
1993-1994;28/11/1993;Inter;Juventus;2.0;2.0;D
1993-1994;28/11/1993;Cagliari;Roma;1.0;1.0;D
1993-1994;28/11/1993;Piacenza;Foggia;5.0;4.0;H
1993-1994;05/12/1993;Roma;Parma;2.0;0.0;H
1993-1994;05/12/1993;Reggiana;Cagliari;3.0;1.0;H
1993-1994;05/12/1993;Milan;Torino;1.0;0.0;H
1993-1994;05/12/1993;Juventus;Napoli;1.0;0.0;H
1993-1994;05/12/1993;Genoa;Sampdoria;1.0;1.0;D
1993-1994;05/12/1993;Atalanta;Lazio;1.0;1.0;D
1993-1994;05/12/1993;Lecce;Inter;1.0;3.0;A
1993-1994;05/12/1993;Foggia;Udinese;2.0;2.0;D
1993-1994;05/12/1993;Cremonese;Piacenza;4.0;0.0;H
1993-1994;12/12/1993;Cagliari;Parma;0.0;4.0;A
1993-1994;12/12/1993;Genoa;Foggia;1.0;4.0;A
1993-1994;12/12/1993;Inter;Sampdoria;3.0;0.0;H
1993-1994;12/12/1993;Lazio;Juventus;3.0;1.0;H
1993-1994;12/12/1993;Napoli;Atalanta;4.0;0.0;H
1993-1994;12/12/1993;Reggiana;Lecce;1.0;0.0;H
1993-1994;12/12/1993;Torino;Cremonese;1.0;1.0;D
1993-1994;12/12/1993;Udinese;Milan;0.0;0.0;D
1993-1994;12/12/1993;Piacenza;Roma;1.0;0.0;H
1993-1994;19/12/1993;Parma;Napoli;1.0;3.0;A
1993-1994;19/12/1993;Sampdoria;Reggiana;1.0;0.0;H
1993-1994;19/12/1993;Roma;Inter;1.0;1.0;D
1993-1994;19/12/1993;Lecce;Lazio;1.0;2.0;A
1993-1994;19/12/1993;Juventus;Piacenza;2.0;0.0;H
1993-1994;19/12/1993;Foggia;Torino;1.0;0.0;H
1993-1994;19/12/1993;Cremonese;Udinese;1.0;1.0;D
1993-1994;19/12/1993;Atalanta;Genoa;2.0;1.0;H
1993-1994;19/12/1993;Milan;Cagliari;2.0;1.0;H
1993-1994;02/01/1994;Cagliari;Lecce;2.0;1.0;H
1993-1994;02/01/1994;Genoa;Cremonese;1.0;0.0;H
1993-1994;02/01/1994;Inter;Atalanta;1.0;2.0;A
1993-1994;02/01/1994;Lazio;Sampdoria;1.0;1.0;D
1993-1994;02/01/1994;Napoli;Foggia;1.0;1.0;D
1993-1994;02/01/1994;Piacenza;Parma;1.0;1.0;D
1993-1994;02/01/1994;Reggiana;Milan;0.0;1.0;A
1993-1994;02/01/1994;Torino;Roma;1.0;1.0;D
1993-1994;02/01/1994;Udinese;Juventus;0.0;3.0;A
1993-1994;09/01/1994;Torino;Piacenza;1.0;0.0;H
1993-1994;09/01/1994;Roma;Genoa;1.0;1.0;D
1993-1994;09/01/1994;Sampdoria;Napoli;4.0;1.0;H
1993-1994;09/01/1994;Reggiana;Inter;1.0;0.0;H
1993-1994;09/01/1994;Milan;Lecce;0.0;0.0;D
1993-1994;09/01/1994;Foggia;Lazio;4.0;1.0;H
1993-1994;09/01/1994;Cremonese;Juventus;1.0;1.0;D
1993-1994;09/01/1994;Parma;Udinese;0.0;1.0;A
1993-1994;09/01/1994;Cagliari;Atalanta;1.0;1.0;D
1993-1994;16/01/1994;Udinese;Cagliari;1.0;1.0;D
1993-1994;16/01/1994;Piacenza;Sampdoria;2.0;1.0;H
1993-1994;16/01/1994;Napoli;Cremonese;2.0;1.0;H
1993-1994;16/01/1994;Lazio;Reggiana;2.0;0.0;H
1993-1994;16/01/1994;Juventus;Roma;0.0;0.0;D
1993-1994;16/01/1994;Inter;Foggia;3.0;1.0;H
1993-1994;16/01/1994;Genoa;Milan;0.0;0.0;D
1993-1994;16/01/1994;Atalanta;Torino;2.0;2.0;D
1993-1994;16/01/1994;Lecce;Parma;1.0;1.0;D
1993-1994;23/01/1994;Sampdoria;Juventus;1.0;1.0;D
1993-1994;23/01/1994;Torino;Napoli;1.0;1.0;D
1993-1994;23/01/1994;Roma;Udinese;0.0;2.0;A
1993-1994;23/01/1994;Cagliari;Genoa;0.0;0.0;D
1993-1994;23/01/1994;Parma;Lazio;2.0;0.0;H
1993-1994;23/01/1994;Milan;Piacenza;2.0;0.0;H
1993-1994;23/01/1994;Foggia;Lecce;5.0;0.0;H
1993-1994;23/01/1994;Cremonese;Inter;1.0;4.0;A
1993-1994;23/01/1994;Reggiana;Atalanta;3.0;0.0;H
1993-1994;30/01/1994;Piacenza;Reggiana;3.0;2.0;H
1993-1994;30/01/1994;Udinese;Torino;1.0;1.0;D
1993-1994;30/01/1994;Napoli;Roma;1.0;1.0;D
1993-1994;30/01/1994;Atalanta;Milan;0.0;1.0;A
1993-1994;30/01/1994;Lazio;Cremonese;4.0;2.0;H
1993-1994;30/01/1994;Juventus;Foggia;2.0;0.0;H
1993-1994;30/01/1994;Inter;Cagliari;3.0;3.0;D
1993-1994;30/01/1994;Genoa;Parma;0.0;4.0;A
1993-1994;30/01/1994;Lecce;Sampdoria;0.0;3.0;A
1993-1994;06/02/1994;Torino;Parma;1.0;2.0;A
1993-1994;06/02/1994;Sampdoria;Udinese;6.0;2.0;H
1993-1994;06/02/1994;Roma;Milan;0.0;2.0;A
1993-1994;06/02/1994;Reggiana;Juventus;0.0;0.0;D
1993-1994;06/02/1994;Lecce;Piacenza;1.0;1.0;D
1993-1994;06/02/1994;Inter;Lazio;1.0;2.0;A
1993-1994;06/02/1994;Cremonese;Atalanta;2.0;0.0;H
1993-1994;06/02/1994;Cagliari;Foggia;1.0;1.0;D
1993-1994;06/02/1994;Napoli;Genoa;1.0;1.0;D
1993-1994;13/02/1994;Piacenza;Inter;2.0;1.0;H
1993-1994;13/02/1994;Udinese;Napoli;3.0;1.0;H
1993-1994;13/02/1994;Parma;Sampdoria;2.0;1.0;H
1993-1994;13/02/1994;Atalanta;Roma;1.0;1.0;D
1993-1994;13/02/1994;Lazio;Cagliari;4.0;0.0;H
1993-1994;13/02/1994;Foggia;Reggiana;1.0;0.0;H
1993-1994;13/02/1994;Milan;Cremonese;1.0;0.0;H
1993-1994;13/02/1994;Juventus;Lecce;5.0;1.0;H
1993-1994;13/02/1994;Genoa;Torino;1.0;1.0;D
1993-1994;20/02/1994;Cagliari;Piacenza;2.0;0.0;H
1993-1994;20/02/1994;Cremonese;Roma;1.0;1.0;D
1993-1994;20/02/1994;Foggia;Parma;3.0;2.0;H
1993-1994;20/02/1994;Inter;Napoli;0.0;0.0;D
1993-1994;20/02/1994;Lazio;Milan;0.0;1.0;A
1993-1994;20/02/1994;Reggiana;Genoa;1.0;1.0;D
1993-1994;20/02/1994;Sampdoria;Atalanta;3.0;1.0;H
1993-1994;20/02/1994;Torino;Juventus;1.0;1.0;D
1993-1994;20/02/1994;Lecce;Udinese;1.0;0.0;H
1993-1994;27/02/1994;Roma;Sampdoria;0.0;1.0;A
1993-1994;27/02/1994;Udinese;Reggiana;2.0;1.0;H
1993-1994;27/02/1994;Torino;Inter;2.0;0.0;H
1993-1994;27/02/1994;Piacenza;Lazio;1.0;2.0;A
1993-1994;27/02/1994;Napoli;Cagliari;1.0;2.0;A
1993-1994;27/02/1994;Milan;Foggia;2.0;1.0;H
1993-1994;27/02/1994;Genoa;Lecce;2.0;0.0;H
1993-1994;27/02/1994;Atalanta;Juventus;1.0;3.0;A
1993-1994;27/02/1994;Parma;Cremonese;2.0;1.0;H
1993-1994;06/03/1994;Sampdoria;Torino;1.0;0.0;H
1993-1994;06/03/1994;Reggiana;Parma;2.0;0.0;H
1993-1994;06/03/1994;Piacenza;Genoa;1.0;1.0;D
1993-1994;06/03/1994;Lecce;Napoli;0.0;1.0;A
1993-1994;06/03/1994;Juventus;Milan;0.0;1.0;A
1993-1994;06/03/1994;Inter;Udinese;1.0;0.0;H
1993-1994;06/03/1994;Foggia;Atalanta;1.0;1.0;D
1993-1994;06/03/1994;Cagliari;Cremonese;0.0;0.0;D
1993-1994;06/03/1994;Lazio;Roma;1.0;0.0;H
1993-1994;13/03/1994;Torino;Cagliari;2.0;1.0;H
1993-1994;13/03/1994;Udinese;Lazio;2.0;2.0;D
1993-1994;13/03/1994;Roma;Reggiana;0.0;0.0;D
1993-1994;13/03/1994;Atalanta;Lecce;3.0;4.0;A
1993-1994;13/03/1994;Napoli;Piacenza;0.0;0.0;D
1993-1994;13/03/1994;Cremonese;Foggia;2.0;0.0;H
1993-1994;13/03/1994;Parma;Inter;4.0;1.0;H
1993-1994;13/03/1994;Milan;Sampdoria;1.0;0.0;H
1993-1994;13/03/1994;Genoa;Juventus;1.0;1.0;D
1993-1994;20/03/1994;Cagliari;Sampdoria;0.0;0.0;D
1993-1994;20/03/1994;Foggia;Roma;1.0;1.0;D
1993-1994;20/03/1994;Genoa;Udinese;3.0;0.0;H
1993-1994;20/03/1994;Juventus;Parma;4.0;0.0;H
1993-1994;20/03/1994;Lazio;Napoli;3.0;0.0;H
1993-1994;20/03/1994;Lecce;Cremonese;2.0;4.0;A
1993-1994;20/03/1994;Milan;Inter;2.0;1.0;H
1993-1994;20/03/1994;Piacenza;Atalanta;4.0;0.0;H
1993-1994;20/03/1994;Reggiana;Torino;1.0;0.0;H
1993-1994;27/03/1994;Udinese;Piacenza;2.0;2.0;D
1993-1994;27/03/1994;Torino;Lazio;1.0;1.0;D
1993-1994;27/03/1994;Sampdoria;Foggia;6.0;0.0;H
1993-1994;27/03/1994;Roma;Lecce;3.0;0.0;H
1993-1994;27/03/1994;Napoli;Milan;1.0;0.0;H
1993-1994;27/03/1994;Inter;Genoa;1.0;3.0;A
1993-1994;27/03/1994;Cremonese;Reggiana;1.0;1.0;D
1993-1994;27/03/1994;Cagliari;Juventus;0.0;1.0;A
1993-1994;27/03/1994;Parma;Atalanta;2.0;1.0;H
1993-1994;04/04/1994;Roma;Cagliari;2.0;0.0;H
1993-1994;04/04/1994;Reggiana;Napoli;1.0;0.0;H
1993-1994;04/04/1994;Milan;Parma;1.0;1.0;D
1993-1994;04/04/1994;Juventus;Inter;1.0;0.0;H
1993-1994;04/04/1994;Genoa;Lazio;1.0;1.0;D
1993-1994;04/04/1994;Foggia;Piacenza;1.0;0.0;H
1993-1994;04/04/1994;Cremonese;Sampdoria;0.0;0.0;D
1993-1994;04/04/1994;Atalanta;Udinese;1.0;1.0;D
1993-1994;04/04/1994;Lecce;Torino;1.0;2.0;A
1993-1994;10/04/1994;Udinese;Foggia;3.0;0.0;H
1993-1994;10/04/1994;Torino;Milan;0.0;0.0;D
1993-1994;10/04/1994;Sampdoria;Genoa;1.0;1.0;D
1993-1994;10/04/1994;Piacenza;Cremonese;1.0;1.0;D
1993-1994;10/04/1994;Napoli;Juventus;0.0;0.0;D
1993-1994;10/04/1994;Cagliari;Reggiana;3.0;0.0;H
1993-1994;10/04/1994;Parma;Roma;0.0;2.0;A
1993-1994;10/04/1994;Lazio;Atalanta;3.0;1.0;H
1993-1994;10/04/1994;Inter;Lecce;4.0;1.0;H
1993-1994;17/04/1994;Atalanta;Napoli;1.0;1.0;D
1993-1994;17/04/1994;Cremonese;Torino;1.0;1.0;D
1993-1994;17/04/1994;Foggia;Genoa;3.0;0.0;H
1993-1994;17/04/1994;Juventus;Lazio;6.0;1.0;H
1993-1994;17/04/1994;Lecce;Reggiana;2.0;4.0;A
1993-1994;17/04/1994;Parma;Cagliari;3.0;1.0;H
1993-1994;17/04/1994;Roma;Piacenza;3.0;1.0;H
1993-1994;17/04/1994;Sampdoria;Inter;3.0;1.0;H
1993-1994;17/04/1994;Milan;Udinese;2.0;2.0;D
1993-1994;24/04/1994;Reggiana;Sampdoria;1.0;1.0;D
1993-1994;24/04/1994;Udinese;Cremonese;3.0;3.0;D
1993-1994;24/04/1994;Torino;Foggia;1.0;4.0;A
1993-1994;24/04/1994;Piacenza;Juventus;0.0;0.0;D
1993-1994;24/04/1994;Lazio;Lecce;3.0;0.0;H
1993-1994;24/04/1994;Inter;Roma;2.0;2.0;D
1993-1994;24/04/1994;Genoa;Atalanta;2.0;1.0;H
1993-1994;24/04/1994;Cagliari;Milan;0.0;0.0;D
1993-1994;24/04/1994;Napoli;Parma;2.0;0.0;H
1993-1994;01/05/1994;Sampdoria;Lazio;3.0;4.0;A
1993-1994;01/05/1994;Roma;Torino;2.0;0.0;H
1993-1994;01/05/1994;Parma;Piacenza;0.0;0.0;D
1993-1994;01/05/1994;Milan;Reggiana;0.0;1.0;A
1993-1994;01/05/1994;Juventus;Udinese;1.0;0.0;H
1993-1994;01/05/1994;Foggia;Napoli;0.0;1.0;A
1993-1994;01/05/1994;Cremonese;Genoa;1.0;1.0;D
1993-1994;01/05/1994;Atalanta;Inter;2.0;1.0;H
1993-1994;01/05/1994;Lecce;Cagliari;0.0;1.0;A
1994-1995;04/09/1994;Torino;Inter;0.0;2.0;A
1994-1995;04/09/1994;Sampdoria;Padova;5.0;0.0;H
1994-1995;04/09/1994;Roma;Foggia;1.0;1.0;D
1994-1995;04/09/1994;Parma;Cremonese;2.0;0.0;H
1994-1995;04/09/1994;Milan;Genoa;1.0;0.0;H
1994-1995;04/09/1994;Bari;Lazio;0.0;1.0;A
1994-1995;04/09/1994;Napoli;Reggiana;1.0;0.0;H
1994-1995;04/09/1994;Brescia;Juventus;1.0;1.0;D
1994-1995;04/09/1994;Fiorentina;Cagliari;2.0;1.0;H
1994-1995;11/09/1994;Cagliari;Milan;1.0;1.0;D
1994-1995;11/09/1994;Cremonese;Napoli;2.0;0.0;H
1994-1995;11/09/1994;Foggia;Brescia;3.0;1.0;H
1994-1995;11/09/1994;Genoa;Fiorentina;1.0;1.0;D
1994-1995;11/09/1994;Inter;Roma;0.0;1.0;A
1994-1995;11/09/1994;Juventus;Bari;2.0;0.0;H
1994-1995;11/09/1994;Lazio;Torino;3.0;0.0;H
1994-1995;11/09/1994;Padova;Parma;0.0;3.0;A
1994-1995;11/09/1994;Reggiana;Sampdoria;0.0;2.0;A
1994-1995;18/09/1994;Torino;Padova;2.0;0.0;H
1994-1995;18/09/1994;Sampdoria;Foggia;1.0;1.0;D
1994-1995;18/09/1994;Roma;Genoa;3.0;0.0;H
1994-1995;18/09/1994;Fiorentina;Cremonese;3.0;1.0;H
1994-1995;18/09/1994;Napoli;Juventus;0.0;2.0;A
1994-1995;18/09/1994;Milan;Lazio;2.0;1.0;H
1994-1995;18/09/1994;Brescia;Inter;0.0;0.0;D
1994-1995;18/09/1994;Bari;Reggiana;1.0;0.0;H
1994-1995;18/09/1994;Parma;Cagliari;2.0;1.0;H
1994-1995;25/09/1994;Padova;Bari;0.0;2.0;A
1994-1995;25/09/1994;Reggiana;Roma;1.0;4.0;A
1994-1995;25/09/1994;Lazio;Parma;2.0;2.0;D
1994-1995;25/09/1994;Foggia;Torino;0.0;2.0;A
1994-1995;25/09/1994;Inter;Fiorentina;3.0;1.0;H
1994-1995;25/09/1994;Genoa;Napoli;3.0;3.0;D
1994-1995;25/09/1994;Cagliari;Brescia;2.0;0.0;H
1994-1995;25/09/1994;Cremonese;Milan;1.0;0.0;H
1994-1995;25/09/1994;Juventus;Sampdoria;1.0;0.0;H
1994-1995;02/10/1994;Roma;Sampdoria;1.0;0.0;H
1994-1995;02/10/1994;Parma;Torino;2.0;0.0;H
1994-1995;02/10/1994;Napoli;Padova;3.0;3.0;D
1994-1995;02/10/1994;Milan;Brescia;1.0;0.0;H
1994-1995;02/10/1994;Genoa;Reggiana;3.0;1.0;H
1994-1995;02/10/1994;Fiorentina;Lazio;1.0;1.0;D
1994-1995;02/10/1994;Cremonese;Foggia;1.0;3.0;A
1994-1995;02/10/1994;Bari;Cagliari;0.0;0.0;D
1994-1995;02/10/1994;Juventus;Inter;0.0;0.0;D
1994-1995;15/10/1994;Reggiana;Fiorentina;1.0;1.0;D
1994-1995;15/10/1994;Sampdoria;Parma;3.0;1.0;H
1994-1995;15/10/1994;Padova;Milan;2.0;0.0;H
1994-1995;15/10/1994;Cagliari;Cremonese;1.0;0.0;H
1994-1995;15/10/1994;Inter;Bari;1.0;2.0;A
1994-1995;15/10/1994;Brescia;Genoa;1.0;2.0;A
1994-1995;15/10/1994;Lazio;Napoli;5.0;1.0;H
1994-1995;15/10/1994;Foggia;Juventus;2.0;0.0;H
1994-1995;16/10/1994;Torino;Roma;2.0;2.0;D
1994-1995;23/10/1994;Cremonese;Juventus;1.0;2.0;A
1994-1995;23/10/1994;Fiorentina;Padova;4.0;1.0;H
1994-1995;23/10/1994;Foggia;Inter;0.0;0.0;D
1994-1995;23/10/1994;Genoa;Lazio;1.0;2.0;A
1994-1995;23/10/1994;Milan;Sampdoria;0.0;0.0;D
1994-1995;23/10/1994;Parma;Reggiana;2.0;1.0;H
1994-1995;23/10/1994;Roma;Cagliari;1.0;1.0;D
1994-1995;23/10/1994;Torino;Brescia;2.0;0.0;H
1994-1995;23/10/1994;Napoli;Bari;3.0;0.0;H
1994-1995;30/10/1994;Padova;Foggia;0.0;0.0;D
1994-1995;30/10/1994;Sampdoria;Napoli;0.0;0.0;D
1994-1995;30/10/1994;Parma;Roma;1.0;0.0;H
1994-1995;30/10/1994;Juventus;Milan;1.0;0.0;H
1994-1995;30/10/1994;Inter;Reggiana;1.0;0.0;H
1994-1995;30/10/1994;Cagliari;Torino;1.0;0.0;H
1994-1995;30/10/1994;Brescia;Fiorentina;2.0;4.0;A
1994-1995;30/10/1994;Bari;Genoa;4.0;1.0;H
1994-1995;30/10/1994;Lazio;Cremonese;1.0;0.0;H
1994-1995;06/11/1994;Cremonese;Sampdoria;2.0;0.0;H
1994-1995;06/11/1994;Fiorentina;Bari;2.0;0.0;H
1994-1995;06/11/1994;Foggia;Cagliari;2.0;0.0;H
1994-1995;06/11/1994;Genoa;Inter;2.0;1.0;H
1994-1995;06/11/1994;Milan;Parma;1.0;1.0;D
1994-1995;06/11/1994;Padova;Brescia;2.0;0.0;H
1994-1995;06/11/1994;Reggiana;Lazio;0.0;0.0;D
1994-1995;06/11/1994;Roma;Napoli;1.0;1.0;D
1994-1995;20/11/1994;Parma;Foggia;2.0;0.0;H
1994-1995;20/11/1994;Sampdoria;Torino;1.0;1.0;D
1994-1995;20/11/1994;Napoli;Fiorentina;2.0;5.0;A
1994-1995;20/11/1994;Cagliari;Genoa;1.0;0.0;H
1994-1995;20/11/1994;Lazio;Padova;5.0;1.0;H
1994-1995;20/11/1994;Bari;Cremonese;2.0;0.0;H
1994-1995;20/11/1994;Milan;Inter;1.0;1.0;D
1994-1995;20/11/1994;Brescia;Roma;0.0;0.0;D
1994-1995;20/11/1994;Juventus;Reggiana;3.0;1.0;H
1994-1995;27/11/1994;Fiorentina;Sampdoria;2.0;2.0;D
1994-1995;27/11/1994;Foggia;Napoli;1.0;1.0;D
1994-1995;27/11/1994;Genoa;Cremonese;0.0;1.0;A
1994-1995;27/11/1994;Inter;Parma;1.0;1.0;D
1994-1995;27/11/1994;Lazio;Roma;0.0;3.0;A
1994-1995;27/11/1994;Padova;Juventus;1.0;2.0;A
1994-1995;27/11/1994;Reggiana;Cagliari;0.0;0.0;D
1994-1995;27/11/1994;Brescia;Bari;1.0;2.0;A
1994-1995;04/12/1994;Sampdoria;Genoa;3.0;2.0;H
1994-1995;04/12/1994;Parma;Brescia;4.0;0.0;H
1994-1995;04/12/1994;Roma;Padova;2.0;0.0;H
1994-1995;04/12/1994;Juventus;Fiorentina;3.0;2.0;H
1994-1995;04/12/1994;Cremonese;Inter;0.0;1.0;A
1994-1995;04/12/1994;Cagliari;Lazio;1.0;1.0;D
1994-1995;04/12/1994;Bari;Foggia;2.0;1.0;H
1994-1995;04/12/1994;Napoli;Torino;1.0;1.0;D
1994-1995;11/12/1994;Brescia;Sampdoria;0.0;0.0;D
1994-1995;11/12/1994;Fiorentina;Roma;1.0;0.0;H
1994-1995;11/12/1994;Foggia;Milan;1.0;3.0;A
1994-1995;11/12/1994;Genoa;Parma;0.0;0.0;D
1994-1995;11/12/1994;Inter;Napoli;0.0;2.0;A
1994-1995;11/12/1994;Lazio;Juventus;3.0;4.0;A
1994-1995;11/12/1994;Padova;Cagliari;2.0;1.0;H
1994-1995;11/12/1994;Reggiana;Cremonese;2.0;0.0;H
1994-1995;11/12/1994;Torino;Bari;2.0;0.0;H
1994-1995;18/12/1994;Roma;Milan;0.0;0.0;D
